Num,N1,,N2,,N3,,N4,,N5,
,Visit Bundle,Cost,Visit Bundle,Cost,Visit Bundle,Cost,Visit Bundle,Cost,Visit Bundle,Cost
1,"3, 2, 6 ",156.88," 8, 12, 14 ",128.39,"3, 2, 6",108.17," 13, 5, 9",130.3,"2, 6, 11",126.57
2,"1, 10",126.88,"3, 8, 12, 14",168.24,"3, 4, 6",106.91,"13, 8, 9",127.96,"4, 6, 11",127.93
3,"13, 7, 14",182.51,"13, 1, 14",135.19,"3, 7, 14",136.21,"13, 8, 10",120.94,"2, 7, 11",116.37
4,"13, 2, 7, 14",219.42,"13, 2, 14",129.92," 3, 2, 7, 14",156.97,"13, 1, 11",140.78,"4, 7, 11",123.17
5,"13, 4, 7, 14",220.37,"13, 4, 14",131.11,"4, 7, 14",129.7,"13, 2, 11",121.48,"8, 1, 11",127.25
6,"13, 8, 14",162.58,"13, 5, 14  ",128.05,"3, 4, 7, 14 ",162.43,"13, 4, 11",127.78,"8, 10, 11",122.49
7," 13, 8, 1, 14",219.99,"13, 8, 15",132.81,"13, 5, 14",130.01,"13, 5, 11",129.76,"8, 12, 11",127.59
8," 13, 10, 14",187.26,"13, 4, 6, 14",168.07,"13, 6, 14",136.42,"13, 6, 11",143.84,"2, 6, 14",127.08
9," 13, 8, 10, 14",227.97," 3, 12, 11",138.25,"13, 2, 6, 14",168.94,"13, 2, 6, 11",178.5,"4, 6, 14",128.44
10,"13, 12, 14 ",173.39," 13, 4, 15",130.77,"13, 4, 6, 14",163.27,"13, 4, 6, 11",173.64,"2, 7, 14",124.19
11,"13, 8, 12, 14",218.28,,,"13, 7, 14",137.68,"13, 7, 11",137.18,"4, 7, 14",130.99
12,"3, 2, 15",147.38,,,"13, 8, 15",127.49," 3, 8, 1, 14",177.24,"8, 1, 14",125.72
13,,,,,,,"3, 10, 14",156.44,"8, 10, 14",132.86
14,,,,,,,,,"8, 12, 14",124.19
